k,e,R(e),entropy_nguyen,Ratio greedy,DC final
2,0.08153076003,1.191518559,4.238234079,4.293432,4.260723
3,0.1002287272,1.293268833,4.2005504,4.281787,4.162973
4,0.1178670038,1.384361855,4.159547662,4.274135,4.112675
5,0.1312661521,1.45120869,4.121412696,4.257562,4.102027
6,0.1425382937,1.506196353,4.093622771,4.244747,4.084509
7,0.155823127,1.569797023,4.078733357,4.233705,4.037913
8,0.1659163583,1.617383574,4.061835109,4.219552,4.019769
9,0.1759621857,1.664211392,4.047414798,4.200638,4.007426
10,0.1856079058,1.708738751,4.033851364,4.182388,3.998027
11,0.1949892434,1.751690155,4.025341897,4.094094,3.979206
12,0.2030917335,1.788539571,4.012797034,4.08219,3.975453
13,0.210800687,1.823412035,4.003046755,4.064298,3.965352
14,0.2174853938,1.853519681,3.98995195,4.038593,3.959034
15,0.2239178455,1.882388059,3.982614341,4.004704,3.949007
16,0.2294104159,1.90696617,3.978328339,3.984527,3.945877
17,0.2337719272,1.926439975,3.974683483,3.963525,3.925289
18,0.2376510105,1.94373032,3.970810564,3.958536,3.921053
19,0.2408116995,1.957799468,3.967296412,3.965785,3.909315
20,0.2419806118,1.962998526,3.965782417,3.965782,3.904272
30,0.2419806118,1.962998526,3.907662286,3.908118,3.870916
40,0.2419806118,1.962998526,3.889135834,3.879815,3.852614
50,0.2419806118,1.962998526,3.877383064,3.872624,3.840378
100,0.2419806118,1.962998526,3.858431913,3.844291,3.807591
200,0.2419806118,1.962998526,3.83686266,3.828103,3.78516
300,0.2419806118,1.962998526,3.832006528,3.817214,3.773028
400,0.2419806118,1.962998526,3.827124194,3.808782,3.765623
500,0.2419806118,1.962998526,3.821925949,3.803519,3.759248
1000,0.2419806118,1.962998526,3.808961054,3.782902,3.74266
2000,0.2419806118,1.962998526,3.78725462,3.758082,3.726437
