k,e,R(e),entropy_nguyen,Ratio Greddy,DI_final
2,0.188232,2.537637,4.943801,5.057129,4.924933
3,0.209602,2.66808,4.88062,5.052538,4.863699
4,0.213492,2.691517,4.851043,5.052002,4.794964
5,0.214892,2.699934,4.833737,5.051237,4.768933
6,0.215297,2.702366,4.821604,5.042887,4.744752
7,0.216035,2.706794,4.812094,5.036654,4.723744
8,0.216261,2.708147,4.803442,5.008882,4.707231
9,0.216974,2.712427,4.798512,4.997618,4.695103
10,0.217093,2.71314,4.797997,4.980996,4.689716
11,0.217266,2.714178,4.796923,4.955091,4.675569
12,0.217378,2.714845,4.796459,4.937289,4.671009
13,0.217445,2.715246,4.796142,4.924504,4.661886
14,0.217582,2.716066,4.795697,4.910745,4.655067
15,0.217641,2.716425,4.795296,4.881059,4.652614
16,0.217792,2.717325,4.795101,4.86066,4.648273
17,0.217873,2.717813,4.794893,4.849728,4.643189
18,0.217905,2.718006,4.794793,4.840336,4.63641
19,0.217953,2.718288,4.794638,4.827674,4.634407
20,0.218016,2.718671,4.79444,4.821522,4.630776
30,0.218357,2.720713,4.79384,4.722946,4.607392
40,0.218446,2.721245,4.793623,4.709652,4.590313
50,0.218475,2.721417,4.793549,4.699163,4.583272
100,0.218491544,2.721515978,4.708166515,4.691775,4.554192
200,0.218491544,2.721515978,4.662893801,4.635949,4.533887
300,0.218491544,2.721515978,4.641662447,4.611341,4.52142
400,0.218491544,2.721515978,4.625115957,4.594319,4.515847
500,0.218491544,2.721515978,4.612529486,4.581078,4.50762
1000,0.218491544,2.721515978,4.573277888,4.539287,4.494455
2000,0.218491544,2.721515978,4.533923429,4.501084,4.482911
